Sungkyunkwan University,60007511,Sungkyunkwan University,Institution/209071,Sungkyunkwan University
University of California Davis,60014439,University of California Davis,Institution/508260,University of California Davis
Washington University in St. Louis,60010261,Washington University in St. Louis,Institution/508370,Washington University in St. Louis
KTH Royal Institute of Technology,60002014,KTH Royal Institute of Technology,Institution/332012,KTH Royal Institute of Technology
Trinity College Dublin,60011149,Trinity College Dublin,Institution/319006,Trinity College Dublin
The Hong Kong Polytechnic University,60008928,The Hong Kong Polytechnic University,Institution/205004,The Hong Kong Polytechnic University
Yonsei University,60016912,Yonsei University,Institution/209077,Yonsei University
University of Geneva,60004718,University of Geneva,Institution/306014,University of Geneva
University of Alberta,60030835,University of Alberta,Institution/501035,University of Alberta
University of Helsinki,60002952,University of Helsinki,Institution/313007,University of Helsinki
Nagoya University,60000264,Nagoya University,Institution/208093,Nagoya University
Technical University of Denmark,60011373,Technical University of Denmark,Institution/310009,Technical University of Denmark
Universidad Nacional Autónoma de México,60032442,Universidad Nacional Autónoma de México,Institution/505023,Universidad Nacional Autónoma de México
The University of Adelaide,60009512,The University of Adelaide,Institution/201022,University of Adelaide
University of Southern California,60029311,University of Southern California,Institution/508341,University of Southern California
KIT,60102538,Karlsruhe Institute of Technology,Institution/309062,Karlsruhe Institute of Technology
Uppsala University,60003858,Uppsala University,Institution/332018,Uppsala University
Universidade de São Paulo,60008088,Universidade de São Paulo,Institution/602049,Universidade de Sao Paulo
Queen Mary University of London,60022109,Queen Mary University of London,Institution/315047,Queen Mary University of London
University of Groningen,60010023,University of Groningen,Institution/325013,University of Groningen
Humboldt-Universität zu Berlin,60000762,Humboldt-Universität zu Berlin,Institution/309021,Humboldt University of Berlin
Leiden University,60032730,Indian Institute of Technology Delhi,Institution/325005,Leiden University
Nanjing University,60033100,Nanjing University,Institution/203129,Nanjing University
Utrecht University,60007989,Utrecht University,Institution/325015,Utrecht University
Wageningen University & Research,60004156,Wageningen University and Research Centre,Institution/325017,Wageningen University & Research
Kyushu University,60011047,Kyushu University,Institution/208083,Kyushu University
University of Maryland,60020304,University of Maryland,Institution/508294,"University of Maryland, Baltimore"
Chalmers University of Technology,60000990,Chalmers University of Technology,Institution/332001,Chalmers University of Technology
Hokkaido University,60014652,Hokkaido University,Institution/208034,Hokkaido University
Freie Universitaet Berlin,60030718,Freie Universität Berlin,Institution/309010,Free University of Berlin
Lancaster University,60023643,Lancaster University,Institution/315028,Lancaster University
Pontificia Universidad Católica de Chile,60029681,Pontificia Universidad Católica de Chile,Institution/603001,Pontificia Universidad Catolica de Chile
University of California Santa Barbara,60029241,"University of California, Santa Barbara",Institution/508266,University of California Santa Barbara
University of Oslo,60010348,Universitetet i Oslo,Institution/326007,University of Oslo
University of Pittsburgh,60015543,University of Pittsburgh,Institution/508332,University of Pittsburgh
CentraleSupélec,60106088,CentraleSupélec,Institution/314295,CentraleSupelec
Ghent University,60033316,Universiteit Gent,Institution/303004,Ghent University
University of Bern,60020486,University of Bern,Institution/306012,University of Bern
Aalto University,60103653,Aalto University,Institution/313003,Aalto University
Aarhus University,60029616,Aarhus Universitet,Institution/310010,Aarhus University
Michigan State University,60031707,Michigan State University,Institution/508122,Michigan State University
Newcastle University,60006222,"Newcastle University, United Kingdom",Institution/315089,Newcastle University
RWTH Aachen University,60016653,Rheinisch-Westfälische Technische Hochschule Aachen,Institution/309048,RWTH Aachen University
Cardiff University,60023998,Cardiff University,Institution/315006,Cardiff University
McMaster University,60031828,McMaster University,Institution/501017,McMaster University
Technische Universität Berlin,60011604,Technical University of Berlin,Institution/309050,Technical University of Berlin
Emory University,60000928,Emory University,Institution/508059,Emory University
Université de Montréal,60009507,University of Montreal,Institution/501028,University of Montreal
University of Lausanne,60000239,Université de Lausanne (UNIL),Institution/306015,University of Lausanne
Hanyang University,60024872,Hanyang University,Institution/209025,Hanyang University
